Symbol,Name,Type,Sector,Industry,Price,Market Cap ($B),Analyst Rating,Price Target Low,Price Target Average,Price Target High,Avg Target Implied %,Short Buy,Long Buy,Fundamental Buy,1D,1M,3M,6M,YTD,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,Simulation Period,Investment Amount ($),Estimated Value ($),Profit / Loss ($),Simulation Return %,Signal Reasons
NVO,Novo Nordisk A/S Common Stock,Stock,Health Care,Biotechnology: Pharmaceutical Preparations,45.61000061035156,201.957911017,Hold,40.135014,47.083466,63.955734,3.230575246504208,false,false,false,-1.4050967029090369,-9.354747440317546,1.5003757752034996,27.86898324891538,-5.88259557553924,-39.22056832238139,-15.935312041493988,54.84019145525938,22.657461863357756,63.51807756531043,23.33308839296937,28.70299049088494,-12.116588308968746,54.22601012306498,-36.56486379712784,39.39196462305061,16.667869138116288,15.407516364962673,44.087836241485135,3.914148445498644,79.49536683889897,26.98425285350621,-19.725432742290383,57.3792164127408,51.048612917540126,10Y,10000,20381.975765226216,10381.975765226216,103.81975765226214,Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 5-year annualized return positive
TMO,Thermo Fisher Scientific Inc Common Stock,Stock,Industrials,Industrial Machinery/Components,622.1799926757812,230.049366403,Strong Buy,520,631.4231,750,1.485600217465577,true,true,true,-1.3508830452429454,7.940532201682338,27.82802086394478,19.632979739679836,7.588121587341634,11.777323425030083,-1.7228276048932845,-3.3556999603119757,-17.285100215494577,43.53956171845192,43.71959122732183,45.549950141241546,18.2101158547056,35.02614879522321,-0.1165411190387599,13.74691257637577,13.063678341458406,75.78432523055336,43.17240465699999,-18.768041307389797,16.08305620341919,39.97653425882115,-40.9327680787186,27.357081919817183,50.315298766755134,10Y,10000,45226.858651716764,35226.858651716764,352.26858651716765,Short technical: price above 20-day average; 20-day average above 50-day average; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive
HDB,HDFC Bank Limited Common Stock,Stock,Finance,Commercial Banks,23.07999992370605,118.42631367,Strong Buy,30.8,33.95,36,47.09705421241834,false,true,true,2.7604668945067967,-2.1204410585995204,-2.4513944524369613,-27.53532292849216,-36.836345524287005,15.863380827027251,-3.739605076447461,0.1619558321359848,7.441915423649226,-9.289522891342772,14.02870984306741,23.209999445873407,2.4400334437601146,68.53344353944688,-0.8557652443455743,22.136458657704416,48.48410811122974,-14.741593132606434,56.19525258560658,-20.821899102618968,29.217826760740785,83.28744639313177,-44.96372427227758,74.0445918760211,49.15953079509545,10Y,10000,16537.829571711463,6537.829571711463,65.37829571711464,Fundamental/consensus: Nasdaq Strong Buy
IBN,ICICI Bank Limited Common Stock,Stock,Finance,Commercial Banks,29.8799991607666,106.972081796,Strong Buy,35.3,35.825,36,19.896255040861497,false,true,true,0.0669743804630362,-0.4290726787731902,15.132451679312652,-1.244961929535604,1.107927669322617,0.5896291948966681,26.32535813907104,9.809002183516611,11.270555520761572,33.57331187995531,-1.5242025161988582,47.00790533172699,5.755416249393686,44.0323335668988,-2.3350896909865138,-31.140576143695007,57.77657742949758,-13.409189614216489,68.47996887650558,-47.1104619636136,36.33686959919429,98.7995636027108,-68.13510993589225,48.8781533307094,47.251315727467016,10Y,10000,45158.36585591719,35158.36585591719,351.5836585591719,Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 3-year annualized return positive; 5-year annualized return positive
LMT,Lockheed Martin Corporation Common Stock,Stock,Industrials,Military/Government/Technical,563.8499755859375,130.131366079,Buy,503,632.9474,756,12.25457611171452,false,false,false,-0.3605009824687144,-3.0035647152096945,5.646056609461314,-13.303517056268754,17.958988259859645,2.4668686050492328,10.021591643640203,-4.30863201672137,40.47568115436402,3.1516427619910248,-6.493361545621279,52.54667177533003,-16.345916017339423,31.76596655622725,18.371601776630307,16.184623877357375,33.76117007730173,68.1139486787155,19.516278403451647,20.70427496126619,-3.83738107850764,-7.585494595671161,-18.559427555902356,15.975201843834364,46.98786491388447,10Y,10000,34318.286150781394,24318.286150781394,243.18286150781395,
SAN,Banco Santander S.A. Sponsored ADR (Spain),Stock,Finance,Commercial Banks,14.670000076293944,215.492317094,Strong Buy,9.3,13.56,15.78,-7.566462648406203,true,true,true,0.8247414706942457,4.9356262993642375,18.211122132713964,20.152657028225995,26.605874882109013,161.62074414001685,15.051257920939708,46.18974906165783,-6.622593542310796,10.40140679756143,-26.32849377845191,-2.3125081448103657,-28.50943106458316,31.143247898903525,11.84755056635658,-37.629632148500434,-0.0090056165174767,23.57322464649272,26.209961005411557,-23.43493597185168,-31.11722293639536,88.81538415144101,-51.9838304541996,20.04105418605149,46.635306144526425,10Y,10000,43342.14657261024,33342.14657261024,333.4214657261024,Short technical: price above 20-day average; 20-day average above 50-day average; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive
MS,Morgan Stanley Common Stock,Stock,Finance,Investment Bankers/Brokers/Service,214.7700042724609,337.310522533,Buy,184,236.61905,262,10.173229637701642,false,true,false,-0.0418860363189832,2.066482743717546,5.968041772972255,30.390248055355595,22.970579233918546,45.16468210245963,39.73119226149016,13.929320876203978,-10.338443881349358,46.65364384307542,38.08846731772009,32.67399437544809,-22.75944512652359,26.606939158015976,36.07316036032304,-16.739775964308844,25.07786835212293,65.34407982160944,27.956534321396,-43.90404292303484,-7.389163473926863,88.30141565406322,-68.83728641404032,-20.286486969284525,45.919952610130906,10Y,10000,91097.98467112561,81097.98467112561,810.9798467112562,Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive | Consensus confirmation: Nasdaq Buy
BN,Brookfield Corporation Class A Limited Voting Shares,Stock,Real Estate,Building operators,41.33000183105469,101.289483654,Strong Buy,31,54.4,61,31.62351219429351,false,true,true,-0.2413673024004303,-2.4545601299211905,-10.169072887057371,-5.410003319341805,-9.6355198804305,20.53893501460984,44.178703569422815,28.599832942407623,-34.62244569848048,48.82606866560389,8.495797705009034,52.67610208056901,-10.652483398443923,33.81312032402548,8.049864388416639,-4.343209995711983,31.123835134433865,11.620604260880077,52.36996638868882,-16.090611695289002,53.277583960153294,49.57995289881727,-56.342909787450125,12.47904211990063,45.60827105132037,10Y,10000,42049.776868903034,32049.776868903034,320.49776868903035,Fundamental/consensus: Nasdaq Strong Buy
DIS,Walt Disney Company (The) Common Stock,Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,108.0999984741211,186.654854106,Strong Buy,88,127.84312,160,18.263757451028418,true,true,true,1.198276336784998,9.313377633043784,5.011379476564826,2.7237943955656263,-4.2556805960969335,3.303280307218115,24.442768272892845,4.263670084433069,-43.90858075312617,-14.510435737570528,25.271379895727694,33.51349710061422,3.607805978703227,4.760208861359305,0.6719562008094648,12.929885275484777,24.85231297808168,55.33880494757428,34.81226301294609,1.6521387678875898,17.58229152631252,43.7721451056617,-28.655176473639056,-3.4863594450876723,44.26518413091976,10Y,10000,11246.404656902452,1246.4046569024522,12.46404656902451,Short technical: price above 20-day average; 20-day average above 50-day average; MACD above signal line; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Fundamental/consensus: Nasdaq Strong Buy
MRK,Merck & Company Inc. Common Stock (new),Stock,Health Care,Biotechnology: Pharmaceutical Preparations,148.35000610351562,366.004912497,Strong Buy,105,148.73077,186,0.25666591224720037,true,true,true,-0.7957651705522317,12.539825414089378,24.628258190843823,21.56639807629752,43.00162825006508,9.788057540503736,-6.260055064058745,1.0098810763237154,49.42137027150617,1.7548613247018174,-7.204799388362315,22.271456051257,39.95388390239203,-1.486513025104652,15.054183554079216,-3.888009169192719,16.93184274972259,26.826815401731015,13.136457671938029,9.560121984733971,2.911867593363504,26.70058929021544,-45.33244647741541,37.35393324197951,42.677167529457606,10Y,10000,40680.49041621358,30680.49041621358,306.8049041621358,Short technical: price above 20-day average; 20-day average above 50-day average; MACD above signal line; RSI in bullish 50-70 zone; 1-month momentum positive; 3-month momentum positive | Fundamental/consensus: Nasdaq Strong Buy | Long technical: price above 200-day average; 50-day average above 200-day average; 6-month return positive; 1-year annualized return positive; 3-year annualized return positive; 5-year annualized return positive
