Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Stock 2,Sector 2,Name 2,Stock 3,Sector 3,Name 3,Stock 4,Sector 4,Name 4,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Annual Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),2016 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2025 Balance After Withdrawal ($)
21,MA + PBR + TSLA + NVDA,Rebalanced annually,MA,Consumer Discretionary,Mastercard Incorporated Common Stock,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,14.564556735657153,63.92171881044689,113.33084856294116,-15.180974449910462,49.20615614019497,214.258988325142,46.383178125578276,7.2677076462745935,44.288900662348,89.50433800111722,2022,-15.180974449910462,2020,214.258988325142,300000.0,85000.0,850000.0,10588773.75690832,11438773.75690832,11138773.75690832,483513.0140033517,612655.6124648208,572181.6312572571,752577.6564851501,2280042.929631295,3316964.413649146,2728416.893500447,5735554.911239142,9316820.193820203,10588773.756908309
22,MPC + TSLA + NVDA + ANET,Rebalanced annually,MPC,Energy,Marathon Petroleum Corporation Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,21.99844196558303,79.36148738644864,116.31834480591027,-11.063995350901914,83.53143124065944,220.3010359400693,26.307131298199373,-10.680112401266495,76.47837712065044,60.259399884930595,2022,-11.063995350901914,2020,220.3010359400693,300000.0,85000.0,850000.0,10575293.324912466,11425293.324912466,11125293.324912466,395778.1996547918,613462.9437481043,462944.4118156885,499731.80606971844,1515646.1517633263,2696687.07487521,2313325.742282644,4919147.955674853,8738056.940038498,10575293.324912468
23,RIO + PBR + TSLA + NVDA,Rebalanced annually,RIO,Basic Materials,Rio Tinto Plc Common Stock,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,23.42147724513764,54.03861987678539,110.24451111859084,-9.897366197288207,48.81641725745296,218.2674513970818,40.973782937106186,0.20792859794134402,43.57986689001434,97.58890239364828,2022,-9.897366197288207,2020,218.2674513970818,300000.0,85000.0,850000.0,10572914.276000796,11422914.276000796,11122914.276000796,507766.70718094485,644050.7622822095,560389.9280022534,705002.8807033023,2158794.700690409,3127640.929511222,2733086.8533812277,5661165.0933378395,8635380.578723937,10572914.2760008
24,RIO + TSLA + NVDA + ANET,Rebalanced annually,RIO,Basic Materials,Rio Tinto Plc Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,28.322470624937285,76.53602982340178,111.46795192568688,-28.10072164136103,68.18155189865196,236.20231579864938,34.17474925214198,-9.353320762878885,78.99556514954378,69.88962188797008,2022,-28.10072164136103,2020,236.20231579864938,300000.0,85000.0,850000.0,10536385.385161608,11386385.385161608,11086385.385161608,424668.8656639102,675138.436109273,526990.5725864886,622088.2793503483,2006475.201487842,3289521.1323238565,2280141.955595782,4736769.494496705,8277104.8074705005,10536385.385161605
25,VLO + TSLA + AMD + ANET,Rebalanced annually,VLO,Energy,Valero Energy Corporation Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,AMD,Technology,Advanced Micro Devices Inc. Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,36.04547793120261,32.30922704647251,82.3120831478672,-15.162433474182416,61.20093960911181,212.64522256971344,50.233116353530164,15.042360666673627,54.946158592620634,77.28364475632785,2022,-15.162433474182416,2020,212.64522256971344,300000.0,85000.0,850000.0,10494106.60296847,11344106.60296847,11044106.60296847,446850.93426898355,607378.3572850262,613742.4003991574,837044.3345026152,2531979.1226128777,3996574.136358504,3305596.2416867656,5941501.368676749,7776154.5358517915,10494106.60296846
26,CNQ + TSLA + AMD + ANET,Rebalanced annually,CNQ,Energy,Canadian Natural Resources Limited Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,AMD,Technology,Advanced Micro Devices Inc. Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,29.951973936689246,32.721170788058615,86.77755422436836,-23.17933041500296,72.02624904418276,216.80358728955608,52.59718996001702,11.28486871099515,48.71592133803566,90.01103172972682,2022,-23.17933041500296,2020,216.80358728955608,300000.0,85000.0,850000.0,10489878.34847091,11339878.34847091,11039878.34847091,485033.09518918046,636321.4363049812,623129.474971917,865878.0686197529,2658132.782940901,4487686.12110698,3362470.5271073636,6195340.212046361,8137528.063731323,10489878.348470902
27,BHP + TSLA + NVDA + ANET,Rebalanced annually,BHP,Energy,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,23.736386835355336,74.21626039800394,112.82810096172857,-25.53874831188041,68.50824840742924,233.48882020374657,30.919690664215267,-5.983477399604694,76.25139283032124,70.5406460120604,2022,-25.53874831188041,2020,233.48882020374657,300000.0,85000.0,850000.0,10448025.9435444,11298025.9435444,10998025.9435444,426621.9380361812,666927.1079084794,542021.6751349383,624613.100419659,1998014.8594275638,3281819.8425415475,2358684.1329055117,4934942.647748414,8512472.533693528,10448025.943544397
28,FCX + TSLA + NVDA + ANET,Rebalanced annually,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,26.058793669060858,78.02235033071808,112.12480364405877,-34.55558977161816,83.63365464068815,251.91197253722143,32.191602231004836,-19.89831375764747,78.71953049243334,83.78580053799557,2022,-34.55558977161816,2020,251.91197253722143,300000.0,85000.0,850000.0,10443788.330298223,11293788.330298223,10993788.330298223,466357.4016139867,748471.7585812288,514538.4996713542,595176.6868109367,2009498.0186380476,3605114.6515572635,2274346.021768634,4739452.032863177,8352283.901700025,10443788.33029822
29,FCX + TSLA + AMD + ANET,Rebalanced annually,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,AMD,Technology,Advanced Micro Devices Inc. Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,35.65452534628245,30.69541063896329,84.26798667667742,-35.73682153443089,66.49003919787447,246.33260983785345,50.06309949149136,7.698493741845796,55.885690012578614,100.82624359496424,2022,-35.73682153443089,2020,246.33260983785345,300000.0,85000.0,850000.0,10441957.216852495,11291957.216852495,10991957.216852495,517478.7307848927,721675.2901523641,692233.4172011913,953786.9215679741,3218275.137758485,5273107.53834955,3303666.50805095,6002599.760897178,7760122.4065179955,10441957.216852497
30,SCCO + PBR + TSLA + NVDA,Rebalanced annually,SCCO,Basic Materials,Southern Copper Corporation Common Stock,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,28.941761029520872,60.23287150284806,119.98626893878601,-13.473648024431878,48.746278232959,223.89289984230732,43.213461244651505,-7.344020812543615,45.057417718637275,93.55184780341189,2022,-13.473648024431878,2020,223.89289984230732,300000.0,85000.0,850000.0,10434481.542185895,11284481.542185895,10984481.542185895,495655.54341023567,633985.1320501671,502425.1320039707,634540.4217058957,1970231.3725348313,2845645.839223707,2377233.534824814,5144587.357222725,8158320.049450455,10434481.542185895
