Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Stock 2,Sector 2,Name 2,Stock 3,Sector 3,Name 3,Stock 4,Sector 4,Name 4,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Annual Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),2016 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2025 Balance After Withdrawal ($)
21,SONY + PBR + NVDA + ANET,Not rebalanced,SONY,Consumer Staples,Sony Group Corporation American Depositary Shares,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,34.403889360343754,133.1950333121478,166.91896474156422,-37.62998006799664,95.36548573022961,62.65195214367224,39.031029639394966,-10.16483261526641,65.02367527234505,100.24940245138313,2022,-37.62998006799664,2023,166.91896474156422,300000.0,85000.0,850000.0,10009563.921225846,10859563.921225846,10559563.921225846,515748.20735414943,766106.6469270523,603233.1886124873,753681.3132544947,1140877.3689505013,2143880.6134364107,1252138.7659186453,3257195.8311178456,7510618.903417149,10009563.921225848
22,FCX + DHR + NVDA + ANET,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,DHR,Industrials,Danaher Corporation Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,35.37479038236452,133.54204003067989,137.3843524441662,-37.02489661561587,99.72610000129356,88.371767867102,43.801411300201615,-22.889934241508705,69.12519989151528,104.7955739343495,2022,-37.02489661561587,2023,137.3843524441662,300000.0,85000.0,850000.0,9981714.247751815,10831714.247751815,10531714.247751815,529386.7218030485,810326.3514485457,539843.1824603569,691302.1151859156,1217218.0156783788,2346102.07122756,1392460.204858733,3220482.6403466146,7436180.857099389,9981714.247751815
23,MA + PBR + NVDA + ANET,Not rebalanced,MA,Consumer Discretionary,Mastercard Incorporated Common Stock,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.98706760682242,133.04116249108608,164.64195866893513,-34.832070845631215,93.05690222257739,56.88421989809711,41.9082776006717,-8.426274595420482,63.22435907996925,98.32567066085315,2022,-34.832070845631215,2023,164.64195866893513,300000.0,85000.0,850000.0,9979442.571681786,10829442.571681786,10529442.571681786,509977.01198255946,747406.7092637107,599428.1675965544,765638.188089538,1116165.498626197,2069834.5353249204,1263868.3035932025,3259725.8336248947,7511502.976701703,9979442.571681788
24,PBR + CME + NVDA + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,CME,Finance,CME Group Inc. Class A Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,34.43562385988686,134.54110626561706,171.1068318382142,-36.54303604319867,100.84355553377004,54.0003696880381,32.9363063748547,-7.007667428532124,60.2079233069913,105.081516783048,2022,-36.54303604319867,2023,171.1068318382142,300000.0,85000.0,850000.0,9953229.474935265,10803229.474935265,10503229.474935265,530244.550349144,764493.7825628575,625920.6007690469,747075.7275016715,1065499.3822021743,2054986.8434052006,1219032.2605366474,3219879.74062667,7466941.564088273,9953229.474935263
25,PBR + SPGI + NVDA + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,SPGI,Finance,S&P Global Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.921349638995295,132.18201563229724,166.02680578622935,-36.562493199217464,99.85582448832307,57.65320172445936,42.09859597229684,-11.168585307352883,64.76682120832803,99.23638251440565,2022,-36.562493199217464,2023,166.02680578622935,300000.0,85000.0,850000.0,9950552.730861442,10800552.730861442,10500552.730861442,512709.14754321694,759774.5644512749,589918.4940769654,753265.8974642849,1102547.8048509283,2118506.00576273,1258927.3914807178,3264084.3267240524,7493616.781725803,9950552.73086144
26,RIO + TSLA + NVDA + ANET,Not rebalanced,RIO,Basic Materials,Rio Tinto Plc Common Stock,TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.731064928480315,132.99188676379026,158.0908274953809,-47.645276793682676,81.66424914601139,167.1778706609011,40.95871468084876,-17.271849089898723,80.8666082162814,69.88962188797008,2022,-47.645276793682676,2020,167.1778706609011,300000.0,85000.0,850000.0,9937221.641540725,10787221.641540725,10487221.641540725,424668.8656639102,683084.173476871,480102.90587696375,591746.8852695732,1496016.7277654512,2632727.555593836,1293357.224507597,3253036.363202949,7494310.799738736,9937221.641540721
27,PBR + LLY + NVDA + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,LLY,Health Care,Eli Lilly and Company Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,34.987725623902975,129.67989783819783,164.76337974325847,-32.16214704680176,104.59156558243834,61.496637464983216,35.540420170064735,-8.558516730104937,60.12246488531634,94.00668251590345,2022,-32.16214704680176,2023,164.76337974325847,300000.0,85000.0,850000.0,9923562.78256344,10773562.78256344,10473562.78256344,497020.04754771036,710840.7511075651,565003.3264996206,680807.8827124286,1014481.8381771191,1990544.2752760667,1265342.4984300835,3265163.564171277,7414424.338438649,9923562.782563444
28,ISRG + DHR + NVDA + ANET,Not rebalanced,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,DHR,Industrials,Danaher Corporation Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,34.24243959786067,139.71072067609137,144.60544052279005,-39.21603129640033,94.51724308069015,77.32411096981552,41.10717965107091,-9.817047016497305,76.3540077472879,85.11663088086866,2022,-39.21603129640033,2023,144.60544052279005,300000.0,85000.0,850000.0,9913020.30923141,10763020.30923141,10463020.30923141,470349.89264260593,744480.8861103015,586394.8474920173,742445.2309151841,1231534.4051581444,2310546.7725037998,1319442.027080742,3142426.9827836803,7447734.367150716,9913020.30923141
29,PBR + UNP + NVDA + ANET,Not rebalanced,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,UNP,Industrials,Union Pacific Corporation Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,34.16039568257384,132.83432713845204,167.24372573381834,-35.890367632772886,98.53017338364026,57.88286400303291,37.68893549584587,-10.601414348197116,60.131245879021286,105.59358331150017,2022,-35.890367632772886,2023,167.24372573381834,300000.0,85000.0,850000.0,9906913.195288608,10756913.195288608,10456913.195288608,531780.7499345005,766547.1402149184,600282.3017064794,741522.3111896133,1085736.6621276438,2070514.8778117597,1242399.476273861,3235234.6488917125,7447736.8260970805,9906913.19528861
30,BHP + TSLA + NVDA + ANET,Not rebalanced,BHP,Energy,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),TSLA,Industrials,Tesla Inc. Common Stock,NVDA,Technology,NVIDIA Corporation Common Stock,ANET,Telecommunications,Arista Networks Inc. Common Stock,33.40131083029873,132.26418729419396,159.01878548973002,-47.486940528229155,82.623949407991,165.91189312547306,38.26016557093168,-15.308113248032592,78.44661339015771,70.5406460120604,2022,-47.486940528229155,2020,165.91189312547306,300000.0,85000.0,850000.0,9906070.507601712,10756070.507601712,10456070.507601712,426621.9380361812,676292.4004050223,487764.79386318347,589384.4115919512,1482243.2466505873,2621931.1568665323,1291856.2677142113,3261150.4149063053,7489484.507623364,9906070.507601712
