Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,Includes Semiconductor,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,10Y CAGR %
37,Best Worst Year,RIO + PGR + PBR + LLY,RIO,Basic Materials,PGR,Finance,PBR,Energy,LLY,Health Care,No,20.15812,16.768733,46.076677,34.192249,24.236328,19.965018,25.631758,18.651808,31.512788,44.723257,2024,16.768733,100000.0,986820.43,886820.43,886.820433,25.725628
38,Best Worst Year,NFLX + CVX + LLY + DE,NFLX,Consumer Discretionary,CVX,Energy,LLY,Health Care,DE,Industrials,No,16.731885,31.302818,26.726879,17.063125,38.147731,32.539777,17.649393,16.811697,34.577513,18.366875,2025,16.731885,100000.0,828705.4,728705.4,728.705401,23.549223
39,Best Worst Year,SHOP + TMUS + MPC + LLY,SHOP,Technology,TMUS,Telecommunications,MPC,Energy,LLY,Health Care,No,26.055727,26.360901,57.705392,16.697097,33.692232,65.080895,58.159375,17.36451,49.66098,25.881926,2022,16.697097,100000.0,2180150.33,2080150.33,2080.150331,36.097029
40,Best Worst Year,SHOP + MPC + LLY + DE,SHOP,Technology,MPC,Energy,LLY,Health Care,DE,Industrials,No,30.546832,18.323929,52.580037,18.166281,44.405342,61.580623,56.912627,16.601183,60.760135,23.864416,2018,16.601183,100000.0,2226084.49,2126084.49,2126.084493,36.381092
41,Best Worst Year,SHOP + TMUS + MPC + MRK,SHOP,Technology,TMUS,Telecommunications,MPC,Energy,MRK,Health Care,No,18.441345,16.470624,42.730597,20.488612,17.611407,55.519733,59.692246,17.239292,44.830774,32.237678,2024,16.470624,100000.0,1872704.94,1772704.94,1772.704939,34.043863
42,Best Worst Year,APH + PGR + PBR + LLY,APH,Technology,PGR,Finance,PBR,Energy,LLY,Health Care,No,33.062667,30.933854,51.187035,26.584309,33.071613,16.432166,24.978477,17.677341,28.2523,42.381819,2020,16.432166,100000.0,1124195.21,1024195.21,1024.195206,27.374993
43,Best Worst Year,GOOG + TMUS + PBR + LLY,GOOG,Technology,TMUS,Telecommunications,PBR,Energy,LLY,Health Care,No,24.506802,26.589987,55.985444,18.381313,34.42044,26.286052,23.064644,16.81622,16.405838,43.365448,2017,16.405838,100000.0,954019.11,854019.11,854.019107,25.301338
44,Best Worst Year,NEM + FTNT + XOM + LLY,NEM,Basic Materials,FTNT,Technology,XOM,Energy,LLY,Health Care,No,53.272609,24.538005,16.401073,17.227993,68.257228,18.559609,26.368126,20.104604,17.496406,24.060374,2023,16.401073,100000.0,933652.75,833652.75,833.652752,25.03124
45,Best Worst Year,TJX + TMUS + BHP + LLY,TJX,Consumer Discretionary,TMUS,Telecommunications,BHP,Energy,LLY,Health Care,No,22.128417,19.732713,28.029847,22.605254,16.454985,35.154721,25.669836,17.526953,16.400445,21.461812,2017,16.400445,100000.0,755317.88,655317.88,655.317875,22.408895
46,Best Worst Year,TMUS + BHP + LLY + NEE,TMUS,Telecommunications,BHP,Energy,LLY,Health Care,NEE,Utilities,No,18.815681,17.457943,16.784144,18.786373,19.096457,39.607262,26.652142,16.367272,24.133991,24.229931,2018,16.367272,100000.0,730508.75,630508.75,630.508752,22.000762
47,Best Worst Year,FTNT + MNST + PBR + LLY,FTNT,Technology,MNST,Consumer Staples,PBR,Energy,LLY,Health Care,No,17.277382,20.92396,45.82293,16.304657,58.081331,21.7013,30.14219,26.777882,26.851449,27.669481,2022,16.304657,100000.0,1007070.09,907070.09,907.070086,25.981266
48,Best Worst Year,MA + ANET + PBR + LLY,MA,Consumer Discretionary,ANET,Telecommunications,PBR,Energy,LLY,Health Care,No,16.693339,35.735815,66.892292,18.311241,46.388009,16.299904,23.891214,20.722578,52.685879,38.993414,2020,16.299904,100000.0,1440411.59,1340411.59,1340.411589,30.57158
49,Best Worst Year,KLAC + PGR + PBR + LLY,KLAC,Technology,PGR,Finance,PBR,Energy,LLY,Health Care,No,32.6621,22.948782,57.324402,26.773642,41.347717,22.895479,42.248584,16.260992,29.501638,39.148512,2018,16.260992,100000.0,1363048.16,1263048.16,1263.048164,29.852741
50,Best Worst Year,FTNT + CVX + LLY + CAT,FTNT,Technology,CVX,Energy,LLY,Health Care,CAT,Industrials,No,23.676033,30.167083,23.235702,19.833172,67.561105,17.794711,25.627587,18.588286,37.127687,16.257466,2016,16.257466,100000.0,1031237.26,931237.26,931.23726,26.280374
