Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,2025,2024,2023,2022,2021,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,5Y CAGR %,Ranking Start Year,Ranking End Year
81,Best Worst Year,MPC + CB + LLY + HWM,MPC,Energy,CB,Finance,LLY,Health Care,HWM,Industrials,40.26787671715272,38.95915477135896,33.35143736517572,40.253458228924686,41.65044117470417,2023,33.35143736517572,2021,41.65044117470417,100000.0,516178.3952673817,416178.3952673817,416.1783952673817,38.854501817201715,2021,2025
82,Best Worst Year,XOM + UBS + MCK + AVGO,XOM,Energy,UBS,Finance,MCK,Health Care,AVGO,Technology,42.21613527666029,36.53116182933864,47.97707534331437,33.33896025382167,46.92944194759579,2022,33.33896025382167,2023,47.97707534331437,100000.0,524177.5065039558,424177.5065039558,424.17750650395584,39.28221865001997,2021,2025
83,Best Worst Year,VLO + MUFG + MCK + ANET,VLO,Energy,MUFG,Finance,MCK,Health Care,ANET,Telecommunications,34.5107654869678,37.135237125759495,38.28930558938529,33.338451044581326,51.4045936204739,2022,33.338451044581326,2021,51.4045936204739,100000.0,482097.27137692727,382097.27137692727,382.0972713769272,36.97046643144133,2021,2025
84,Best Worst Year,PBR + SCHW + MCK + HWM,PBR,Energy,SCHW,Finance,MCK,Health Care,HWM,Industrials,42.02194119036401,33.321057565937394,33.796745443399466,33.331094142267794,34.13953033940882,2024,33.321057565937394,2025,42.02194119036401,100000.0,440390.9639701204,340390.9639701204,340.3909639701204,34.51405963248506,2021,2025
85,Best Worst Year,SCCO + COP + LLY + HWM,SCCO,Basic Materials,COP,Energy,LLY,Health Care,HWM,Industrials,48.10120174681134,33.3145241779267,37.689561410704314,33.5707048229852,40.918588106331654,2024,33.3145241779267,2025,48.10120174681134,100000.0,490510.71327747544,390510.71327747544,390.5107132774755,37.4452385727607,2021,2025
86,Best Worst Year,MPC + WFC + LLY + HWM,MPC,Energy,WFC,Finance,LLY,Health Care,HWM,Industrials,45.734987281738704,44.60708675348896,38.03651348207514,33.280128712976115,49.97475635871795,2022,33.280128712976115,2021,49.97475635871795,100000.0,548399.7171039917,448399.71710399166,448.3997171039917,40.546308896838454,2021,2025
87,Best Worst Year,MPC + LLY + HWM + APH,MPC,Energy,LLY,Health Care,HWM,Industrials,APH,Technology,60.86307827496588,43.313168837529666,40.17741433746835,33.2717887138092,43.42397453080266,2022,33.2717887138092,2025,60.86307827496588,100000.0,569994.1681667281,469994.1681667281,469.99416816672806,41.63614000066964,2021,2025
88,Best Worst Year,MPC + LLY + HWM + CCZ,MPC,Energy,LLY,Health Care,HWM,Industrials,CCZ,Telecommunications,37.15730516150807,35.64996308509396,33.25310616837364,34.02758495900495,36.451546464136285,2023,33.25310616837364,2025,37.15730516150807,100000.0,490120.96129110135,390120.96129110135,390.1209612911013,37.423389268503705,2021,2025
89,Best Worst Year,MPC + HSBC + MCK + AVGO,MPC,Energy,HSBC,Finance,MCK,Health Care,AVGO,Technology,45.563265411749306,41.14878830260142,49.55701139750864,33.24151688276996,45.61914641255508,2022,33.24151688276996,2023,49.55701139750864,100000.0,555661.5333559853,455661.5333559853,455.66153335598534,40.91657096533976,2021,2025
90,Best Worst Year,VLO + MRK + HWM + ANET,VLO,Energy,MRK,Health Care,HWM,Industrials,ANET,Telecommunications,38.31584685146523,45.30415824659272,34.696927099098545,33.2394139033018,37.892303887564516,2022,33.2394139033018,2024,45.30415824659272,100000.0,488259.5118313298,388259.5118313298,388.2595118313298,37.31884519993807,2021,2025
91,Best Worst Year,XOM + MUFG + LLY + GE,XOM,Energy,MUFG,Finance,LLY,Health Care,GE,Technology,44.98391635259645,37.37106019301255,44.861323495459274,33.22558724246521,39.147382472197066,2022,33.22558724246521,2025,44.98391635259645,100000.0,497255.3806998008,397255.3806998008,397.25538069980075,37.821159150933646,2021,2025
92,Best Worst Year,TJX + XOM + MCK + AVGO,TJX,Consumer Discretionary,XOM,Energy,MCK,Health Care,AVGO,Technology,34.96966146195223,43.997961513804654,35.43673097928963,33.173047219006286,42.77858541533506,2022,33.173047219006286,2024,43.997961513804654,100000.0,491001.9199415357,391001.9199415357,391.00191994153573,37.4727556025088,2021,2025
93,Best Worst Year,MPC + UBS + LLY + HWM,MPC,Energy,UBS,Finance,LLY,Health Care,HWM,Industrials,51.27019024181706,33.16168111699348,49.7652158759759,38.10953881836258,42.04580517773449,2024,33.16168111699348,2025,51.27019024181706,100000.0,555510.6480524791,455510.64805247914,455.51064805247916,40.9089171875944,2021,2025
94,Best Worst Year,MPC + BMO + LLY + HWM,MPC,Energy,BMO,Finance,LLY,Health Care,HWM,Industrials,46.41685695817624,33.73193973293225,35.95803648776681,33.161017622717914,46.408023749582,2022,33.161017622717914,2025,46.41685695817624,100000.0,514284.05352797837,414284.05352797837,414.28405352797836,38.7524344442792,2021,2025
95,Best Worst Year,XOM + LLY + HWM + AVGO,XOM,Energy,LLY,Health Care,HWM,Industrials,AVGO,Technology,48.70238014850792,64.4402615051764,49.16805935604911,33.13992096571218,47.95308966760963,2022,33.13992096571218,2024,64.4402615051764,100000.0,658696.2816184625,558696.2816184625,558.6962816184625,45.79312413732144,2021,2025
96,Best Worst Year,MPC + JPM + LLY + HWM,MPC,Energy,JPM,Finance,LLY,Health Care,HWM,Industrials,46.158753081003745,44.05959411390869,39.95909482819096,33.100454331815556,41.62471508599907,2022,33.100454331815556,2025,46.158753081003745,100000.0,533954.8371045275,433954.8371045275,433.95483710452754,39.79798285787639,2021,2025
97,Best Worst Year,XOM + HSBC + MCK + GE,XOM,Energy,HSBC,Finance,MCK,Health Care,GE,Technology,53.54041890393293,33.561396486662616,38.25862156179382,34.0246987335313,33.0628384789967,2021,33.0628384789967,2025,53.54041890393293,100000.0,459598.86610187707,359598.86610187707,359.59886610187704,35.667489864928584,2021,2025
98,Best Worst Year,MPC + MUFG + LLY + GE,MPC,Energy,MUFG,Finance,LLY,Health Care,GE,Technology,45.78195223256205,33.54159622225471,54.041738747873694,33.02900983092778,40.00379306378837,2022,33.02900983092778,2023,54.041738747873694,100000.0,519999.6703144653,419999.6703144653,419.99967031446533,39.05948403725641,2021,2025
99,Best Worst Year,VLO + MCK + CAT + AVGO,VLO,Energy,MCK,Health Care,CAT,Industrials,AVGO,Technology,48.113608193399116,38.96692675672371,40.03243612001454,33.02610955081897,39.22985894948151,2022,33.02610955081897,2025,48.113608193399116,100000.0,513992.53132640256,413992.53132640256,413.9925313264025,38.73670049743967,2021,2025
100,Best Worst Year,COP + MCK + HWM + ANET,COP,Energy,MCK,Health Care,HWM,Industrials,ANET,Telecommunications,37.17550168979427,50.48512798011846,39.508258802193254,33.02385373748411,60.09731781396162,2022,33.02385373748411,2021,60.09731781396162,100000.0,553962.7174593001,453962.71745930007,453.96271745930005,40.830300964746954,2021,2025
101,Best Worst Year,MCD + MPC + LLY + HWM,MCD,Consumer Discretionary,MPC,Energy,LLY,Health Care,HWM,Industrials,38.814362654713925,33.021719544937426,36.067917036862774,36.38778902550388,41.63531070079555,2024,33.021719544937426,2021,41.63531070079555,100000.0,501689.0749427511,401689.0749427511,401.6890749427511,38.06605911013112,2021,2025
102,Best Worst Year,COP + MRK + HWM + AVGO,COP,Energy,MRK,Health Care,HWM,Industrials,AVGO,Technology,36.50842123250987,48.692745195721635,36.25442702278862,33.00211703635711,39.12871303861307,2022,33.00211703635711,2024,48.692745195721635,100000.0,511292.11610496487,411292.11610496487,411.29211610496486,38.590614126976064,2021,2025
103,Best Worst Year,MPC + MCK + CAT + ANET,MPC,Energy,MCK,Health Care,CAT,Industrials,ANET,Telecommunications,35.640812558722224,33.00120578470791,43.65457282250475,35.365077308663324,54.767240327209095,2024,33.00120578470791,2021,54.767240327209095,100000.0,500425.95180952176,400425.95180952176,400.42595180952173,37.99646607345404,2021,2025
104,Best Worst Year,XOM + HSBC + LLY + HWM,XOM,Energy,HSBC,Finance,LLY,Health Care,HWM,Industrials,53.02124861697488,45.43823553177195,32.98432142534134,38.40525027038574,39.02268845951116,2023,32.98432142534134,2025,53.02124861697488,100000.0,541506.0956751797,441506.09567517973,441.5060956751797,40.19117312732507,2021,2025
105,Best Worst Year,TJX + MPC + MCK + AVGO,TJX,Consumer Discretionary,MPC,Energy,MCK,Health Care,AVGO,Technology,35.76769734191783,40.1684975430468,44.61714623170405,32.97646980746885,43.63499600692637,2022,32.97646980746885,2023,44.61714623170405,100000.0,513746.2095562002,413746.2095562002,413.7462095562002,38.72340052891987,2021,2025
106,Best Worst Year,MPC + HSBC + MCK + HWM,MPC,Energy,HSBC,Finance,MCK,Health Care,HWM,Industrials,54.89347418137631,39.2019189462807,32.971081614800276,42.60016347481694,34.416373265561184,2023,32.971081614800276,2025,54.89347418137631,100000.0,518042.3921369419,418042.3921369419,418.04239213694194,38.9546421197789,2021,2025
107,Best Worst Year,MPC + LLY + HWM + AVGO,MPC,Energy,LLY,Health Care,HWM,Industrials,AVGO,Technology,49.500416028473516,60.61079753441855,58.34847460846353,32.943343554174746,48.809500259200945,2022,32.943343554174746,2024,60.61079753441855,100000.0,681440.571233127,581440.571233127,581.440571233127,46.78632496913531,2021,2025
108,Best Worst Year,MPC + MCK + HWM + KLAC,MPC,Energy,MCK,Health Care,HWM,Industrials,KLAC,Technology,61.53670098697279,32.92124460280367,37.12112611777654,37.852612497364866,46.237352361156496,2024,32.92124460280367,2025,61.53670098697279,100000.0,539388.6001086384,439388.6001086384,439.38860010863846,40.08136102820892,2021,2025
109,Best Worst Year,MNST + XOM + MCK + AVGO,MNST,Consumer Staples,XOM,Energy,MCK,Health Care,AVGO,Technology,39.25596390942341,34.16558687253493,33.88520467590054,32.91927030157345,40.53428502942835,2022,32.91927030157345,2021,40.53428502942835,100000.0,471893.45646949625,371893.45646949625,371.8934564694963,36.38568554911987,2021,2025
110,Best Worst Year,BKNG + COP + MCK + HWM,BKNG,Consumer Discretionary,COP,Energy,MCK,Health Care,HWM,Industrials,34.6858193198718,38.879704006656056,34.99357024059105,32.918742937042495,37.55575709085681,2022,32.918742937042495,2024,38.879704006656056,100000.0,434680.71353762655,334680.71353762655,334.68071353762656,34.163405724204175,2021,2025
111,Best Worst Year,VLO + SMFG + MCK + AVGO,VLO,Energy,SMFG,Finance,MCK,Health Care,AVGO,Technology,41.925958251679326,46.52940477412808,38.719813189077286,32.905113736513314,37.75360728103678,2022,32.905113736513314,2024,46.52940477412808,100000.0,509822.7557384502,409822.7557384502,409.82275573845016,38.510865567282714,2021,2025
112,Best Worst Year,XOM + MFG + MCK + ANET,XOM,Energy,MFG,Finance,MCK,Health Care,ANET,Telecommunications,32.88110527578204,42.63241781098006,33.26866255842211,33.755075177063226,49.92242067112278,2025,32.88110527578204,2021,49.92242067112278,100000.0,467179.9126499217,367179.9126499217,367.17991264992173,36.11213061831498,2021,2025
113,Best Worst Year,XOM + HSBC + MCK + ANET,XOM,Energy,HSBC,Finance,MCK,Health Care,ANET,Telecommunications,36.74373818550483,39.287210653122145,37.84928815692267,32.85985569168398,55.113241009957434,2022,32.85985569168398,2021,55.113241009957434,100000.0,493627.56227084063,393627.56227084063,393.6275622708406,37.61946976210071,2021,2025
114,Best Worst Year,MPC + LLY + HWM + SO,MPC,Energy,LLY,Health Care,HWM,Industrials,SO,Utilities,39.21038916102347,38.417326234173004,32.85572758068746,38.321140566724964,38.77214514501595,2023,32.85572758068746,2025,39.21038916102347,100000.0,504650.7814716133,404650.7814716133,404.6507814716133,38.22868930372791,2021,2025
115,Best Worst Year,XOM + HSBC + MRK + AVGO,XOM,Energy,HSBC,Finance,MRK,Health Care,AVGO,Technology,36.07665772822043,37.49482786872531,34.59545637751803,32.83811899055699,34.14463623460888,2022,32.83811899055699,2024,37.49482786872531,100000.0,450956.9609165055,350956.9609165055,350.9569609165055,35.15341352526961,2021,2025
116,Best Worst Year,XOM + SMFG + LLY + PH,XOM,Energy,SMFG,Finance,LLY,Health Care,PH,Industrials,32.829728395607106,34.76235944827532,34.0392598999363,33.216921591532945,38.00139733795036,2025,32.829728395607106,2021,38.00139733795036,100000.0,425576.06855341524,325576.06855341524,325.57606855341527,33.59661047695506,2021,2025
117,Best Worst Year,MPC + MRK + HWM + AVGO,MPC,Energy,MRK,Health Care,HWM,Industrials,AVGO,Technology,41.886033909346075,50.72052051505119,43.37367977793187,36.734858866392976,32.72867488730478,2021,32.72867488730478,2024,50.72052051505119,100000.0,553272.2952554094,453272.29525540944,453.2722952554094,40.795179151109686,2021,2025
118,Best Worst Year,COP + MUFG + MCK + AVGO,COP,Energy,MUFG,Finance,MCK,Health Care,AVGO,Technology,32.70333986801244,40.52382407488841,39.84680551307537,33.10115417763664,52.64100277152244,2025,32.70333986801244,2021,52.64100277152244,100000.0,505129.87565056235,405129.87565056235,405.1298756505623,38.25492504092782,2021,2025
119,Best Worst Year,MPC + UBS + MCK + AVGO,MPC,Energy,UBS,Finance,MCK,Health Care,AVGO,Technology,43.014171156625885,32.7016978585808,57.15749059572878,33.142382842284235,47.785852539187104,2024,32.7016978585808,2023,57.15749059572878,100000.0,546921.7961186203,446921.7961186203,446.9217961186203,40.470473475574245,2021,2025
120,Best Worst Year,XOM + LLY + RTX + GE,XOM,Energy,LLY,Health Care,RTX,Industrials,GE,Technology,50.84931932032124,37.53752430365972,33.9803830312831,32.68877662854444,39.15136145661676,2022,32.68877662854444,2025,50.84931932032124,100000.0,475241.7344217127,375241.7344217127,375.2417344217127,36.57868106536066,2021,2025
121,Best Worst Year,COP + SMFG + MCK + GE,COP,Energy,SMFG,Finance,MCK,Health Care,GE,Technology,40.87223065859432,32.81009431632321,35.63203054129541,32.676182706169136,37.64062427911194,2022,32.676182706169136,2025,40.87223065859432,100000.0,420247.3009021614,320247.3009021614,320.2473009021614,33.260361346921655,2021,2025
122,Best Worst Year,MPC + HSBC + MCK + ANET,MPC,Energy,HSBC,Finance,MCK,Health Care,ANET,Telecommunications,37.541774065470435,35.45774668236429,47.02970340933709,32.66327828014655,55.96965160154875,2022,32.66327828014655,2021,55.96965160154875,100000.0,516371.85188550514,416371.85188550514,416.3718518855052,38.86490841167822,2021,2025
123,Best Worst Year,MPC + HSBC + MRK + AVGO,MPC,Energy,HSBC,Finance,MRK,Health Care,AVGO,Technology,36.874693608186035,33.66536389796746,43.77587162993245,32.64154157901956,35.001046826200195,2022,32.64154157901956,2023,43.77587162993245,100000.0,473701.25053116994,373701.25053116994,373.70125053116993,36.49002277909963,2021,2025
124,Best Worst Year,XOM + MUFG + LLY + AVGO,XOM,Energy,MUFG,Finance,LLY,Health Care,AVGO,Technology,36.208726980447224,48.78791597970921,46.97929807875967,32.6389828032413,50.847279814164125,2022,32.6389828032413,2021,50.847279814164125,100000.0,570573.7583392446,470573.75833924464,470.57375833924465,41.66493241665621,2021,2025
125,Best Worst Year,VLO + LLY + LMT + AVGO,VLO,Energy,LLY,Health Care,LMT,Industrials,AVGO,Technology,32.57998709745464,37.714512240906416,41.661746804947434,34.10382472691089,41.492086361025535,2025,32.57998709745464,2023,41.661746804947434,100000.0,512750.15494777437,412750.15494777437,412.7501549477744,38.66956719123915,2021,2025
126,Best Worst Year,XOM + LLY + HWM + ANET,XOM,Energy,LLY,Health Care,HWM,Industrials,ANET,Telecommunications,40.68088880222905,58.749219884939265,46.64075136787756,32.56168236308877,58.3035948566033,2022,32.56168236308877,2024,58.749219884939265,100000.0,619406.6001479824,519406.60014798236,519.4066001479823,44.01083408241912,2021,2025
127,Best Worst Year,SCCO + XOM + MCK + AVGO,SCCO,Basic Materials,XOM,Energy,MCK,Health Care,AVGO,Technology,44.42475945849078,38.71178020960143,43.02067363318602,32.53286808848014,39.40218672488466,2022,32.53286808848014,2025,44.42475945849078,100000.0,501157.75087939657,401157.75087939657,401.1577508793966,38.036802377463786,2021,2025
128,Best Worst Year,XOM + LLY + GD + AVGO,XOM,Energy,LLY,Health Care,GD,Industrials,AVGO,Technology,34.31242005445765,39.64433037075521,41.48940180122427,32.520739539451796,55.97839051903095,2022,32.520739539451796,2021,55.97839051903095,100000.0,539898.4709317841,439898.47093178413,439.8984709317841,40.107834115786886,2021,2025
129,Best Worst Year,RIO + XOM + MCK + AVGO,RIO,Basic Materials,XOM,Energy,MCK,Health Care,AVGO,Technology,38.90447567410756,32.51752858353875,33.278915812990824,36.1091499156238,39.47232574937857,2024,32.51752858353875,2021,39.47232574937857,100000.0,470503.7412607388,370503.7412607388,370.5037412607388,36.30526022118963,2021,2025
130,Best Worst Year,WMT + XOM + BBVA + LLY,WMT,Consumer Discretionary,XOM,Energy,BBVA,Finance,LLY,Health Care,58.67685305772134,33.18776037122902,32.50255989471759,32.82417257497561,36.92025285562165,2023,32.50255989471759,2025,58.67685305772134,100000.0,477350.83631589473,377350.83631589473,377.3508363158947,36.69969247298912,2021,2025
131,Best Worst Year,MPC + LLY + RTX + GE,MPC,Energy,LLY,Health Care,RTX,Industrials,GE,Technology,51.64735520028684,33.70806033290187,43.16079828369752,32.492199217007006,40.007772048208075,2022,32.492199217007006,2025,51.64735520028684,100000.0,497986.0240363772,397986.0240363772,397.9860240363772,37.86163693486615,2021,2025
132,Best Worst Year,KO + MPC + MCK + AVGO,KO,Consumer Staples,MPC,Energy,MCK,Health Care,AVGO,Technology,32.48616436800167,34.74695943941937,38.586064307419,33.94599549389807,43.271439351142604,2025,32.48616436800167,2021,43.271439351142604,100000.0,490228.67555588786,390228.67555588786,390.2286755558879,37.42942906660289,2021,2025
133,Best Worst Year,VLO + MCK + LMT + AVGO,VLO,Energy,MCK,Health Care,LMT,Industrials,AVGO,Technology,33.65417678189048,35.30765962617301,32.468091741991955,38.495315342879515,36.02936057548425,2023,32.468091741991955,2022,38.495315342879515,100000.0,466542.16179487214,366542.16179487214,366.5421617948722,36.07494876875235,2021,2025
134,Best Worst Year,BKNG + XOM + LLY + HWM,BKNG,Consumer Discretionary,XOM,Energy,LLY,Health Care,HWM,Industrials,38.19120643230657,47.14379591147686,42.12606280627536,32.456571562647156,35.76203413349849,2022,32.456571562647156,2024,47.14379591147686,100000.0,500124.59622630884,400124.59622630884,400.1245962263089,37.97984182517449,2021,2025
135,Best Worst Year,COP + MUFG + LLY + HWM,COP,Energy,MUFG,Finance,LLY,Health Care,HWM,Industrials,40.95935895320362,40.98380733330109,32.45453079332248,38.06831015371499,46.900955410069834,2023,32.45453079332248,2021,46.900955410069834,100000.0,513718.72758442117,413718.72758442117,413.7187275844211,38.72191634311564,2021,2025
136,Best Worst Year,VLO + MCK + CAT + ANET,VLO,Energy,MCK,Health Care,CAT,Industrials,ANET,Telecommunications,40.092116847120245,33.27588513648658,37.50512813184298,32.447870948195565,49.580364138475176,2022,32.447870948195565,2021,49.580364138475176,100000.0,474702.8498559224,374702.8498559224,374.7028498559224,36.547693236130605,2021,2025
137,Best Worst Year,MPC + MUFG + LLY + AVGO,MPC,Energy,MUFG,Finance,LLY,Health Care,AVGO,Technology,37.00676286041282,44.95845200895136,56.15971333117409,32.442405391703865,51.70369040575544,2022,32.442405391703865,2023,56.15971333117409,100000.0,593318.047953909,493318.04795390903,493.31804795390906,42.7767565318951,2021,2025
138,Best Worst Year,XOM + BBVA + MRK + AVGO,XOM,Energy,BBVA,Finance,MRK,Health Care,AVGO,Technology,57.59828745976987,32.422649378875846,40.353454126209165,33.41424108951225,34.46794945703809,2024,32.422649378875846,2025,57.59828745976987,100000.0,506807.1957905083,406807.1957905083,406.80719579050833,38.34662041684061,2021,2025
139,Best Worst Year,VLO + CB + MCK + AVGO,VLO,Energy,CB,Finance,MCK,Health Care,AVGO,Technology,36.46316192035957,38.77385086472494,34.594267394266836,32.36909589237857,42.20361234742285,2022,32.36909589237857,2021,42.20361234742285,100000.0,481866.4413799234,381866.4413799234,381.8664413799234,36.95734752316753,2021,2025
140,Best Worst Year,MPC + LLY + HWM + ANET,MPC,Energy,LLY,Health Care,HWM,Industrials,ANET,Telecommunications,41.478924682194645,54.91975591418142,55.821166620291976,32.36510495155134,59.16000544819461,2022,32.36510495155134,2021,59.16000544819461,100000.0,642150.8897626469,542150.8897626469,542.1508897626469,45.053234592255635,2021,2025
141,Best Worst Year,SCCO + MPC + MCK + AVGO,SCCO,Basic Materials,MPC,Energy,MCK,Health Care,AVGO,Technology,45.22279533845638,34.88231623884358,52.20108888560044,32.33629067694271,40.25859731647597,2022,32.33629067694271,2023,52.20108888560044,100000.0,523902.0404940611,423902.0404940611,423.9020404940611,39.26757644036585,2021,2025
142,Best Worst Year,XOM + LLY + CAT + GE,XOM,Energy,LLY,Health Care,CAT,Industrials,GE,Technology,50.56526771274889,33.51170820373964,44.07714603791696,32.335007146079455,37.323152990198345,2022,32.335007146079455,2025,50.56526771274889,100000.0,489860.9591787959,389860.9591787959,389.86095917879595,37.40880594785201,2021,2025
143,Best Worst Year,VLO + SMFG + MCK + ANET,VLO,Energy,SMFG,Finance,MCK,Health Care,ANET,Telecommunications,33.904466905400454,40.83836315389095,36.192505200905735,32.32687513388991,48.10411247003045,2022,32.32687513388991,2021,48.10411247003045,100000.0,470533.07426797005,370533.07426797005,370.5330742679701,36.30695973731692,2021,2025
144,Best Worst Year,MPC + LLY + GD + AVGO,MPC,Energy,LLY,Health Care,GD,Industrials,AVGO,Technology,35.11045593442324,35.81486639999736,50.66981705363869,32.32416212791436,56.834801110622266,2022,32.32416212791436,2021,56.834801110622266,100000.0,562642.7605464486,462642.76054644864,462.64276054644864,41.268894643967926,2021,2025
145,Best Worst Year,XOM + MCK + GD + AVGO,XOM,Energy,MCK,Health Care,GD,Industrials,AVGO,Technology,35.386609738893476,37.23747775602182,32.29574673826879,36.91223015542043,50.51566473348967,2023,32.29574673826879,2021,50.51566473348967,100000.0,493690.4777788819,393690.4777788819,393.6904777788819,37.62297765271623,2021,2025
146,Best Worst Year,VLO + ING + LLY + HWM,VLO,Energy,ING,Finance,LLY,Health Care,HWM,Industrials,63.36103603728347,36.32458171103372,34.121552646436534,32.2904138189062,43.35479189258379,2022,32.2904138189062,2025,63.36103603728347,100000.0,539771.4588563824,439771.4588563824,439.7714588563824,40.10124137194919,2021,2025
147,Best Worst Year,VLO + PGR + MCK + AVGO,VLO,Energy,PGR,Finance,MCK,Health Care,AVGO,Technology,32.28206973009012,45.650468921584235,39.33471874636564,35.0781425508203,37.95123460396512,2025,32.28206973009012,2024,45.650468921584235,100000.0,490998.31869235716,390998.31869235716,390.99831869235715,37.47255394337854,2021,2025
148,Best Worst Year,UL + MPC + LLY + HWM,UL,Consumer Discretionary,MPC,Energy,LLY,Health Care,HWM,Industrials,38.332442663181496,38.2134851682066,32.26015139048142,35.556398143168565,32.78683019376965,2023,32.26015139048142,2025,38.332442663181496,100000.0,490483.7907602688,390483.7907602688,390.4837907602688,37.44372975636037,2021,2025
149,Best Worst Year,BKNG + MPC + LLY + HWM,BKNG,Consumer Discretionary,MPC,Energy,LLY,Health Care,HWM,Industrials,38.98924231227217,43.31433194071901,51.30647805868978,32.25999415110972,36.6184447250898,2022,32.25999415110972,2023,51.30647805868978,100000.0,522868.88584097335,422868.88584097335,422.86888584097335,39.21260487446383,2021,2025
150,Best Worst Year,PBR + ING + MCK + HWM,PBR,Energy,ING,Finance,MCK,Health Care,HWM,Industrials,54.92735075580621,34.091890277846254,45.75761886146296,32.25111642034292,32.93524478124726,2022,32.25111642034292,2025,54.92735075580621,100000.0,493844.13095557305,393844.13095557305,393.84413095557306,37.631543171631066,2021,2025
151,Best Worst Year,LIN + VLO + LLY + HWM,LIN,Basic Materials,VLO,Energy,LLY,Health Care,HWM,Industrials,42.09729201959082,34.05760126355633,33.0671856683044,32.245130308913915,37.84907053244745,2022,32.245130308913915,2025,42.09729201959082,100000.0,479396.54756394215,379396.54756394215,379.39654756394214,36.81665883305896,2021,2025
152,Best Worst Year,CNQ + BBVA + MCK + HWM,CNQ,Energy,BBVA,Finance,MCK,Health Care,HWM,Industrials,74.77290420681041,34.81636354979601,37.0451057493308,32.2421822724839,40.37811973432745,2022,32.2421822724839,2025,74.77290420681041,100000.0,551997.6806372222,451997.68063722225,451.99768063722223,40.73024721875302,2021,2025
153,Best Worst Year,MPC + LLY + HWM + ADP,MPC,Energy,LLY,Health Care,HWM,Industrials,ADP,Technology,34.297282301572345,40.09007443608219,32.24014057144636,35.93902207646431,45.338657126942365,2023,32.24014057144636,2021,45.338657126942365,100000.0,502262.700594524,402262.700594524,402.262700594524,38.09761731627115,2021,2025
154,Best Worst Year,XOM + SMFG + LLY + GE,XOM,Energy,SMFG,Finance,LLY,Health Care,GE,Technology,44.37761777102911,41.07418622114401,42.764523106979716,32.2140113317738,35.84690132175362,2022,32.2140113317738,2025,44.37761777102911,100000.0,485691.1835908437,385691.1835908437,385.6911835908437,37.174076169256274,2021,2025
155,Best Worst Year,COP + MCK + CAT + AVGO,COP,Energy,MCK,Health Care,CAT,Industrials,AVGO,Technology,38.28469122816488,36.664472085615486,39.062628055533054,32.210574081250876,50.816773289523724,2022,32.210574081250876,2021,50.816773289523724,100000.0,497735.4541295575,397735.4541295575,397.73545412955747,37.84776066906657,2021,2025
156,Best Worst Year,VLO + LLY + HWM + ORCL,VLO,Energy,LLY,Health Care,HWM,Industrials,ORCL,Technology,45.82550005538034,48.25983168765098,33.888373887549704,32.18206259055513,38.72377545681977,2022,32.18206259055513,2024,48.25983168765098,100000.0,516807.11043405987,416807.11043405987,416.8071104340599,38.88831083746152,2021,2025
157,Best Worst Year,VLO + MCK + DE + AVGO,VLO,Energy,MCK,Health Care,DE,Industrials,AVGO,Technology,35.88376977749578,34.69111093896498,32.175239507778485,35.02319330742763,42.456227895375605,2023,32.175239507778485,2021,42.456227895375605,100000.0,473639.71480266727,373639.71480266727,373.6397148026673,36.486476472461796,2021,2025
158,Best Worst Year,XOM + LLY + RTX + AVGO,XOM,Energy,LLY,Health Care,RTX,Industrials,AVGO,Technology,42.074129948172015,48.95438009035637,36.09835761458349,32.10217218932053,50.85125879858383,2022,32.10217218932053,2021,50.85125879858383,100000.0,548560.1120611565,448560.11206115654,448.56011206115653,40.55452928121503,2021,2025
159,Best Worst Year,COP + SMFG + MCK + AVGO,COP,Energy,SMFG,Finance,MCK,Health Care,AVGO,Technology,32.0970412864451,44.22695010301986,37.75000512459581,32.089578266945225,49.340521621079006,2022,32.089578266945225,2021,49.340521621079006,100000.0,493565.6785416051,393565.6785416051,393.5656785416051,37.616019049963924,2021,2025
160,Best Worst Year,PG + MPC + LLY + HWM,PG,Consumer Discretionary,MPC,Energy,LLY,Health Care,HWM,Industrials,33.777195725299286,37.301015593555576,32.088004818993966,34.99876538743612,39.818786131721005,2023,32.088004818993966,2021,39.818786131721005,100000.0,490955.0373531521,390955.0373531521,390.95503735315214,37.470130225895495,2021,2025
161,Best Worst Year,MPC + MCK + AVGO + T,MPC,Energy,MCK,Health Care,AVGO,Technology,T,Telecommunications,32.08060394838393,43.55267585490079,39.0119225023363,32.91072102620958,38.9530901056745,2025,32.08060394838393,2024,43.55267585490079,100000.0,493198.9688350275,393198.9688350275,393.19896883502753,37.5955637643983,2021,2025
162,Best Worst Year,MPC + MUFG + HWM + ORCL,MPC,Energy,MUFG,Finance,HWM,Industrials,ORCL,Technology,40.80759646534745,49.6839061132533,32.08191730998342,32.0757362882808,33.2037494889758,2022,32.0757362882808,2024,49.6839061132533,100000.0,468772.3984881181,368772.3984881181,368.77239848811814,36.20479800081,2021,2025
