Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,2025,2024,2023,2022,2021,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,5Y CAGR %,Ranking Start Year,Ranking End Year
29,Best Worst Year,MPC + IBN + LLY + HWM,MPC,Energy,IBN,Finance,LLY,Health Care,HWM,Industrials,36.98958172614549,39.56890515666474,34.75467026296033,39.07839627102502,43.081606682256634,2023,34.75467026296033,2021,43.081606682256634,100000.0,513621.157975047,413621.157975047,413.621157975047,38.716646505419064,2021,2025
30,Best Worst Year,VLO + HSBC + LLY + HWM,VLO,Energy,HSBC,Finance,LLY,Health Care,HWM,Industrials,58.2705887853385,41.88345091279276,36.015291987093995,35.291466498380544,34.692222862368546,2021,34.692222862368546,2025,58.2705887853385,100000.0,538527.2833362448,438527.28333624476,438.5272833362448,40.0365949482703,2021,2025
31,Best Worst Year,MPC + MFG + LLY + HWM,MPC,Energy,MFG,Finance,LLY,Health Care,HWM,Industrials,49.956651587217685,44.95397871887202,37.5841110792552,39.10389234422755,34.68827871226781,2021,34.68827871226781,2025,49.956651587217685,100000.0,537802.7356689252,437802.7356689252,437.80273566892515,39.998892926521236,2021,2025
32,Best Worst Year,XOM + SAN + LLY + HWM,XOM,Energy,SAN,Finance,LLY,Health Care,HWM,Industrials,76.44932458245994,40.579844072889756,34.66944173008122,34.80168641679436,36.432219820066855,2023,34.66944173008122,2025,76.44932458245994,100000.0,552436.3294788253,452436.3294788253,452.43632947882537,40.752606568944486,2021,2025
33,Best Worst Year,XOM + LLY + HWM + ETN,XOM,Energy,LLY,Health Care,HWM,Industrials,ETN,Technology,35.34674795265244,46.694860849157955,37.17793908731265,34.66169934643169,45.50740599745468,2022,34.66169934643169,2024,46.694860849157955,100000.0,511153.3986003038,411153.3986003038,411.1533986003038,38.58309316968154,2021,2025
34,Best Worst Year,XOM + MCK + HWM + PANW,XOM,Energy,MCK,Health Care,HWM,Industrials,PANW,Technology,37.426086826050295,40.26340603734501,41.759082358346205,34.64597196783073,42.534566989867486,2022,34.64597196783073,2021,42.534566989867486,100000.0,470567.6859917003,370567.6859917003,370.5676859917003,36.30896498637708,2021,2025
35,Best Worst Year,V + MPC + LLY + HWM,V,Consumer Discretionary,MPC,Energy,LLY,Health Care,HWM,Industrials,39.78174817646061,38.56714493123825,38.879414086720935,35.409570950131915,34.609551092077474,2021,34.609551092077474,2025,39.78174817646061,100000.0,503339.4198168218,403339.4198168218,403.3394198168218,38.15677560923656,2021,2025
36,Best Worst Year,MPC + SAN + LLY + HWM,MPC,Energy,SAN,Finance,LLY,Health Care,HWM,Industrials,77.24736046242553,36.750380102131906,43.84985698249564,34.60510900525693,37.28863041165817,2022,34.60510900525693,2025,77.24736046242553,100000.0,575180.6190934898,475180.61909348983,475.18061909348984,41.89296008303851,2021,2025
37,Best Worst Year,SCCO + MPC + LLY + HWM,SCCO,Basic Materials,MPC,Energy,LLY,Health Care,HWM,Industrials,53.478814423647556,35.342299497256256,44.808814165847565,37.303446653021055,34.51854995502336,2021,34.51854995502336,2025,53.478814423647556,100000.0,532490.8924279199,432490.8924279199,432.49089242791985,39.72124178866867,2021,2025
38,Best Worst Year,COP + BBVA + LLY + HWM,COP,Energy,BBVA,Finance,LLY,Health Care,HWM,Industrials,69.9633015516537,34.50881775183509,40.80348167130365,35.052053127767714,46.60245042483997,2024,34.50881775183509,2025,69.9633015516537,100000.0,578120.4410134024,478120.4410134024,478.12044101340246,42.037711072218784,2021,2025
